M CIOLACU
COLEGI 23.167650021585843
STIMATI 23.167650021585843
FIRMELE 21.555907324794934
OAMENILOR 20.593466685854086
MILIARDE 14.763527196334643
MASIV 13.472442077996835
UNITI 12.870916678658798
URMATORII 11.91768599798532
RESPECTUL 11.70585695783566
MEREU 11.70585695783566
INCHIS 11.70585695783566
CERUT 11.70585695783566
ADEVARUL 10.777953662397467
VI 10.777953662397467
PREZENTA 10.777953662397467
AGRICULTURA 10.777953662397467
NATIONALE 10.777953662397467
SPRIJINI 10.777953662397467
PROIECTE 10.531849399812407
EUROPEAN 10.33446903743425
PROSPERITATE 10.296733342927043
V-ATI 10.296733342927043
MODERNE 8.938264498488993
ALIATII 8.938264498488993
DUS 8.779392718376743
AJUTORUL 8.779392718376743
PREZIDENTIALA 8.779392718376743
INVESTITORII 8.779392718376743
BANII 8.779392718376743
SPUNETI 8.779392718376743
LUPTAM 8.083465246798099
TINERII 8.083465246798099
INTAI 8.083465246798099
FUNDAMENTALE 8.083465246798099
MINISTRI 8.083465246798099
MARILE 8.083465246798099
URA 7.72255000719528
PENSIILE 7.72255000719528
DRUM 7.72255000719528
SPITALE 7.72255000719528
CRESTERE 7.72255000719528
OCDE 7.72255000719528
REFORME 7.72255000719528
PARTENERII 7.72255000719528
ATI 7.6743326962720575
DOMNULE 6.87836715531848
UNIUNEA 6.188585388511396
PNRR 5.971625061333523
CRESCUT 5.95884299899266
PRODUCTIE 5.95884299899266
ZERO 5.95884299899266
LISTA 5.95884299899266
PREMIER 5.95884299899266
FRANTA 5.95884299899266
TARILOR 5.95884299899266
FERME 5.95884299899266
SIGURA 5.95884299899266
SALA 5.85292847891783
CASTIGAT 5.85292847891783
MOMENTE 5.85292847891783
CONSULTAT 5.85292847891783
VARSTA 5.85292847891783
GENERATII 5.85292847891783
SURSA 5.85292847891783
LEGEA 5.85292847891783
STANGA 5.85292847891783
NASCUT 5.85292847891783
GARANTUL 5.85292847891783
SALARII 5.85292847891783
HAIDETI 5.85292847891783
TAXE 5.85292847891783
DEMONSTRAT 5.85292847891783
SPANIA 5.85292847891783
IMPRUMUTURILE 5.85292847891783
EUROPEANA 5.752291185937558
EXTERNE 5.661744877796425
VIZIUNE 5.659601111552124
TAXELE 5.611379049629157
NICIUN 5.611379049629157
EUROPENI 5.524035217971638
AFARA 5.524035217971638
DEMNITATE 5.388976831198733
CONSTRUI 5.388976831198733
ACCESIBILE 5.388976831198733
FINANTARE 5.388976831198733
GRIJA 5.388976831198733
PUTERNICI 5.388976831198733
GERMANIA 5.388976831198733
PROTEJA 5.388976831198733
DEGEABA 5.388976831198733
CATE 5.388976831198733
CIRCA 5.388976831198733
SALARIU 5.388976831198733
PIB 5.265924699906203
INCREDEREA 5.190505792249629
EURO 5.158414713372038
LOCALE 5.148366671463519
SPRE 5.148366671463519
REGASEASCA 5.148366671463519
STABILITATE 5.148366671463519
AUTOSTRAZI 5.148366671463519
MECANISME 5.148366671463519
PERSPECTIVA 5.148366671463519
SALE 5.148366671463519
CANCELARIILE 5.148366671463519
SENATULUI 5.148366671463519
AGENDA 5.148366671463519
VENITI 5.148366671463519
LUATI 5.148366671463519
REALIZAREA 5.148366671463519
ROMANESTI 4.930376746484041
VIITOR 4.910280036005319
PROIECT 4.81334419106442
ORBAN 4.741374465217771
PSD 4.627341095799979
CORECTA 4.469132249244495
SPUNEM 4.469132249244495
FII 4.429058158900392
PUTEREA 4.389696359188371
REAL 4.389696359188371
FONDURI 4.389696359188371
